operateur,filiere,annee,code_region,region,code_conso,secteur,nb_sites,conso_totale,conso_moyenne
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,1143,961356.831640663,841.082092424027
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,2566,336881.07028641,131.286465427284
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,502,126842.301244367,252.673906861289
Enedis,Electricité,2019,11,Île-de-France,ENT,INDUSTRIE,2188,197487.713784856,90.2594669949068
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,248,68209.4854237664,275.038247676477
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,734,531451.860082368,724.048855698049
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,188,150220.598554579,799.045736992441
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,344,242617.182420664,705.282507036814
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,35,4154.6355204842,118.703872013834
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1674,214086.741750081,127.889331989296
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,4516,1099039.94281776,243.365797789584
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,8371,2480867.73688864,296.364560612668
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1869,840294.150125219,449.595585941797
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,28,8433.16963103022,301.184629679651
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,63,162755.570662119,2583.42175654157
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1472,710951.378221084,482.983273248019
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,409,99950.4830953472,244.377709279577
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,3043,1000040.6400601,328.636424600756
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,6408,1092664.17148318,170.515632253929
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,579,124587.038413816,215.176232148214
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,447,140035.905936705,313.279431625738
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,64,104458.237677646,1632.15996371322
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,675,1131783.91055045,1676.71690451919
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,648,293973.306309333,453.662509736625
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,188,494599.249036887,2630.84706934514
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,3237,928715.670193918,286.906292923669
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,498,135573.034812391,272.235009663436
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,560,93623.219073411,167.184319773948
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,16596,3041482.28396314,183.265984813397
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,524,62876.4229302426,119.993173530997
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,3490,719699.720444885,206.217684941228
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,877,265019.282379065,302.188463374076
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,230,501816.976893206,2181.81294301394
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,343,67173.1676173541,195.840138826105
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,237,34835.1616120289,146.983804270164
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,25,2910.24896297623,116.409958519049
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,447,91849.1507279244,205.479084402515
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,61,7710.56018383147,126.40262596445
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,73,6598.35835417102,90.3884706050825
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,51,10404.1396090249,204.002737431861
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,570,122880.829942154,215.580403407288
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1113,259927.380138993,233.537628157226
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,14353,2692242.50870013,187.57350440327
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,2638,862282.231839986,326.869686065196
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1291,1163153.10482499,900.970646649876
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1523,340497.58608137,223.570312594465
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1637,190207.057445731,116.192460260068
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,473,128315.744404339,271.28064356097
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,165,235554.035598294,1427.60021574724
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,60,24615.708402011,410.261806700183
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,990,462145.369110371,466.81350415189
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1330,201854.124878584,151.770018705702
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,47,21010.5759318954,447.03353046586
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,1592,88957.9930829142,55.8781363586144
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,12,602.836131386273,50.2363442821894
Enedis,Electricité,2019,11,Île-de-France,ENT,TERTIAIRE,15,1375.24926166318,91.6832841108787
